3,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Agriculture Total,4028.9755419759626,3977.611558789955,3905.0224297898294,3896.8583017247443,3807.2407674147657,3840.0813708713417,3761.3450656368314,3809.7657757354004,3722.949528466105,3809.989355385767,3805.798779830516,3692.000036742754,3766.3973134903977,3806.4170758266923,3752.72668632267,3573.00812837544,3639.6045707090707
Commercial Total,5809.331252788028,6076.63243588392,5783.889126955098,5577.457160387082,4712.011264492317,5001.267073963847,4672.226863314798,4997.5968540691865,4772.413248130422,4075.7396430720473,3700.093352551452,3288.6716413679924,2555.056076075005,1707.8052990044716,1378.7602308305777,1094.0256007019457,1289.487328493507
Domestic Total,13449.536093699331,13583.317568318385,13081.835599035676,13033.414716318268,11835.167962518777,12685.403118011534,11112.6420038821,11868.95121145971,11531.527193046111,9798.620534937974,9562.443688526417,9036.525527628037,8585.065578833442,8419.354440780324,8136.3376626395875,7960.604043903182,8254.30058190361
Industry Total,10110.46507118057,10197.714267723179,10138.235253739073,9265.801065496664,8063.486577703278,8605.356042888625,8053.840463499638,7934.255574873411,7930.368102874371,7683.166894579044,7258.44547550882,6871.729734822511,6795.989582544441,7338.841582113817,6823.598747693528,6329.377088092957,7025.526089308444
LULUCF Net Emissions,-317.59362813863225,-326.8628706013598,-364.1681074331086,-409.0840360289639,-410.38105322277534,-416.0019185651762,-437.6390045182508,-405.36610610096096,-444.51670021864004,-443.1137735545345,-467.1355313111956,-419.90540848875594,-447.1648623380583,-432.5693675690162,-457.9060921412234,-461.50279461111506,-458.06088895815367
Public Sector Total,2157.0521517811085,2068.2372998966566,1940.5469558334742,1836.5852439792473,1569.8122407001501,1702.472983486886,1543.4372239357394,1655.9261446450341,1632.970841248835,1407.2102965701697,1343.8202234545843,1185.6869256991636,1247.66216715764,1400.4277972483944,1289.6740051319448,1210.2272280479792,1333.3172470430752
Transport Total,13501.323430039956,13305.491246334434,13427.290156610987,12933.30720211684,12494.989413930578,12409.032801584108,12275.012297319063,12166.688080795886,12070.62612914696,12321.712166960619,12586.05122114562,12802.317733563052,12775.515790800346,12562.288532722234,12222.766601719943,9941.294067730978,11009.606016226931
Waste Management Total,993.132503791108,982.8986780157561,1704.1742324457346,1555.0347663767081,2215.670625272867,2569.20748786248,2099.1687698748933,2004.0625286427949,1965.5555857589316,1760.419340018253,1781.0990693120145,1976.6303260590878,2203.7340869422237,2002.438544624623,1934.1451938552118,1725.6067815793992,1643.074362836807
